county,office,district,party,candidate,votes,no_votes
TOTAL,Regional Transportation District - District C,,,Julia Stewart,16857,
DENVER,Regional Transportation District - District C,,,Eliot Tipton,5794,
JEFFERSON,Regional Transportation District - District C,,,Eliot Tipton,736,
TOTAL,Regional Transportation District - District C,,,Eliot Tipton,6530,
ADAMS,Regional Transportation District - District J,,,Vince Buzek,38463,
JEFFERSON,Regional Transportation District - District J,,,Vince Buzek,14585,
TOTAL,Regional Transportation District - District J,,,Vince Buzek,53048,
ADAMS,Regional Transportation District - District K,,,Troy L. Whitmore,25624,
WELD,Regional Transportation District - District K,,,Troy L. Whitmore,0*,
TOTAL,Regional Transportation District - District K,,,Troy L. Whitmore,25624,
ADAMS,Regional Transportation District - District K,,,Paul D. Solano,24282,
WELD,Regional Transportation District - District K,,,Paul D. Solano,0*,
TOTAL,Regional Transportation District - District K,,,Paul D. Solano,24282,
ADAMS,Regional Transportation District - District K,,,Gerald Stephen Jaramillo,7124,
WELD,Regional Transportation District - District K,,,Gerald Stephen Jaramillo,0*,
TOTAL,Regional Transportation District - District K,,,Gerald Stephen Jaramillo,7124,
ADAMS,Regional Transportation District - District L,,,Phil Munsterman,2212,
JEFFERSON,Regional Transportation District - District L,,,Phil Munsterman,8354,
TOTAL,Regional Transportation District - District L,,,Phil Munsterman,10566,
ADAMS,Regional Transportation District - District L,,,Bob Wilson,3446,
JEFFERSON,Regional Transportation District - District L,,,Bob Wilson,15954,
TOTAL,Regional Transportation District - District L,,,Bob Wilson,19400,
ADAMS,Regional Transportation District - District L,,,Shelley Cook,7252,
JEFFERSON,Regional Transportation District - District L,,,Shelley Cook,30538,
TOTAL,Regional Transportation District - District L,,,Shelley Cook,37790,
JEFFERSON,Regional Transportation District - District N,,,Brad K. Evans,21421,
TOTAL,Regional Transportation District - District N,,,Brad K. Evans,21421,
JEFFERSON,Regional Transportation District - District N,,,Margaret (Peggy) A. Catlin,27327,
TOTAL,Regional Transportation District - District N,,,Margaret (Peggy) A. Catlin,27327,
JEFFERSON,Regional Transportation District - District N,,,Jennifer Hope,22699,
TOTAL,Regional Transportation District - District N,,,Jennifer Hope,22699,
BOULDER,Regional Transportation District - District O,,,Lynn Guissinger,76446,
TOTAL,Regional Transportation District - District O,,,Lynn Guissinger,76446,
ADAMS,Supreme Court,,,Richard L. Gabriel,96781,"41,340"
ALAMOSA,Supreme Court,,,Richard L. Gabriel,3729,"1,281"
ARAPAHOE,Supreme Court,,,Richard L. Gabriel,162192,"53,330"
ARCHULETA,Supreme Court,,,Richard L. Gabriel,3710,"1,479"
BACA,Supreme Court,,,Richard L. Gabriel,929,550
BENT,Supreme Court,,,Richard L. Gabriel,1084,536
BOULDER,Supreme Court,,,Richard L. Gabriel,108632,"24,086"
BROOMFIELD,Supreme Court,,,Richard L. Gabriel,22724,"6,565"
CHAFFEE,Supreme Court,,,Richard L. Gabriel,6066,"2,338"
CHEYENNE,Supreme Court,,,Richard L. Gabriel,480,321
CLEAR CREEK,Supreme Court,,,Richard L. Gabriel,3026,"1,179"
CONEJOS,Supreme Court,,,Richard L. Gabriel,2057,"1,051"
COSTILLA,Supreme Court,,,Richard L. Gabriel,963,380
CROWLEY,Supreme Court,,,Richard L. Gabriel,756,443
CUSTER,Supreme Court,,,Richard L. Gabriel,1386,861
DELTA,Supreme Court,,,Richard L. Gabriel,8410,"4,046"
DENVER,Supreme Court,,,Richard L. Gabriel,194597,"47,435"
DOLORES,Supreme Court,,,Richard L. Gabriel,534,370
DOUGLAS,Supreme Court,,,Richard L. Gabriel,100108,"35,530"
EAGLE,Supreme Court,,,Richard L. Gabriel,13763,"3,246"
ELBERT,Supreme Court,,,Richard L. Gabriel,7213,"4,128"
EL PASO,Supreme Court,,,Richard L. Gabriel,166420,"65,966"
FREMONT,Supreme Court,,,Richard L. Gabriel,10200,"5,681"
GARFIELD,Supreme Court,,,Richard L. Gabriel,14422,"4,359"
GILPIN,Supreme Court,,,Richard L. Gabriel,1952,820
GRAND,Supreme Court,,,Richard L. Gabriel,4403,"1,543"
GUNNISON,Supreme Court,,,Richard L. Gabriel,4704,"1,349"
HINSDALE,Supreme Court,,,Richard L. Gabriel,304,110
HUERFANO,Supreme Court,,,Richard L. Gabriel,2006,874
JACKSON,Supreme Court,,,Richard L. Gabriel,384,203
JEFFERSON,Supreme Court,,,Richard L. Gabriel,184493,"67,878"
KIOWA,Supreme Court,,,Richard L. Gabriel,367,235
KIT CARSON,Supreme Court,,,Richard L. Gabriel,1519,775
LAKE,Supreme Court,,,Richard L. Gabriel,1686,646
LA PLATA,Supreme Court,,,Richard L. Gabriel,15610,"5,255"
LARIMER,Supreme Court,,,Richard L. Gabriel,108250,"34,058"
LAS ANIMAS,Supreme Court,,,Richard L. Gabriel,3677,"1,574"
LINCOLN,Supreme Court,,,Richard L. Gabriel,1096,483
LOGAN,Supreme Court,,,Richard L. Gabriel,4759,"2,274"
MESA,Supreme Court,,,Richard L. Gabriel,39721,"15,437"
MINERAL,Supreme Court,,,Richard L. Gabriel,328,121
MOFFAT,Supreme Court,,,Richard L. Gabriel,2793,"1,483"
MONTEZUMA,Supreme Court,,,Richard L. Gabriel,6405,"2,819"
MONTROSE,Supreme Court,,,Richard L. Gabriel,10089,"4,588"
MORGAN,Supreme Court,,,Richard L. Gabriel,6134,"2,689"
OTERO,Supreme Court,,,Richard L. Gabriel,4698,"1,847"
OURAY,Supreme Court,,,Richard L. Gabriel,1981,534
PARK,Supreme Court,,,Richard L. Gabriel,5156,"2,480"
PHILLIPS,Supreme Court,,,Richard L. Gabriel,1108,443
PITKIN,Supreme Court,,,Richard L. Gabriel,6264,"1,045"
PROWERS,Supreme Court,,,Richard L. Gabriel,2290,971
PUEBLO,Supreme Court,,,Richard L. Gabriel,41291,"16,275"
RIO BLANCO,Supreme Court,,,Richard L. Gabriel,1384,823
RIO GRANDE,Supreme Court,,,Richard L. Gabriel,2975,"1,089"
ROUTT,Supreme Court,,,Richard L. Gabriel,7781,"1,671"
SAGUACHE,Supreme Court,,,Richard L. Gabriel,1535,546
SAN JUAN,Supreme Court,,,Richard L. Gabriel,230,90
SAN MIGUEL,Supreme Court,,,Richard L. Gabriel,2301,622
SEDGWICK,Supreme Court,,,Richard L. Gabriel,686,278
SUMMIT,Supreme Court,,,Richard L. Gabriel,8271,"1,740"
TELLER,Supreme Court,,,Richard L. Gabriel,6583,"3,301"
WASHINGTON,Supreme Court,,,Richard L. Gabriel,1316,590
WELD,Supreme Court,,,Richard L. Gabriel,68269,"30,226"
YUMA,Supreme Court,,,Richard L. Gabriel,2160,"1,061"
TOTAL,Supreme Court,,,Richard L. Gabriel,1497141,"517,347"
ADAMS,Court of Appeals,,,John Daniel Dailey,93322,"43,520"
ALAMOSA,Court of Appeals,,,John Daniel Dailey,3672,"1,342"
ARAPAHOE,Court of Appeals,,,John Daniel Dailey,158670,"56,236"
ARCHULETA,Court of Appeals,,,John Daniel Dailey,3778,"1,408"
BACA,Court of Appeals,,,John Daniel Dailey,962,507
BENT,Court of Appeals,,,John Daniel Dailey,1096,513
BOULDER,Court of Appeals,,,John Daniel Dailey,104980,"26,317"
BROOMFIELD,Court of Appeals,,,John Daniel Dailey,21903,"7,082"
CHAFFEE,Court of Appeals,,,John Daniel Dailey,6050,"2,296"
CHEYENNE,Court of Appeals,,,John Daniel Dailey,493,311
CLEAR CREEK,Court of Appeals,,,John Daniel Dailey,2961,"1,228"
CONEJOS,Court of Appeals,,,John Daniel Dailey,2112,989
COSTILLA,Court of Appeals,,,John Daniel Dailey,955,381
CROWLEY,Court of Appeals,,,John Daniel Dailey,776,416
CUSTER,Court of Appeals,,,John Daniel Dailey,1439,804
DELTA,Court of Appeals,,,John Daniel Dailey,8615,"3,807"
DENVER,Court of Appeals,,,John Daniel Dailey,175336,"61,400"
DOLORES,Court of Appeals,,,John Daniel Dailey,569,331
DOUGLAS,Court of Appeals,,,John Daniel Dailey,101879,"32,502"
EAGLE,Court of Appeals,,,John Daniel Dailey,13308,"3,507"
ELBERT,Court of Appeals,,,John Daniel Dailey,7902,"3,491"
EL PASO,Court of Appeals,,,John Daniel Dailey,175666,"58,586"
FREMONT,Court of Appeals,,,John Daniel Dailey,10674,"5,421"
GARFIELD,Court of Appeals,,,John Daniel Dailey,14206,"4,278"
GILPIN,Court of Appeals,,,John Daniel Dailey,1931,822
GRAND,Court of Appeals,,,John Daniel Dailey,4319,"1,541"
GUNNISON,Court of Appeals,,,John Daniel Dailey,4616,"1,519"
HINSDALE,Court of Appeals,,,John Daniel Dailey,312,98
HUERFANO,Court of Appeals,,,John Daniel Dailey,2023,911
JACKSON,Court of Appeals,,,John Daniel Dailey,392,192
JEFFERSON,Court of Appeals,,,John Daniel Dailey,184211,"65,588"
KIOWA,Court of Appeals,,,John Daniel Dailey,402,194
KIT CARSON,Court of Appeals,,,John Daniel Dailey,1577,726
LAKE,Court of Appeals,,,John Daniel Dailey,1611,681
LA PLATA,Court of Appeals,,,John Daniel Dailey,15653,"5,041"
LARIMER,Court of Appeals,,,John Daniel Dailey,104783,"35,462"
LAS ANIMAS,Court of Appeals,,,John Daniel Dailey,3690,"1,593"
LINCOLN,Court of Appeals,,,John Daniel Dailey,1157,469
LOGAN,Court of Appeals,,,John Daniel Dailey,4897,"2,145"
MESA,Court of Appeals,,,John Daniel Dailey,40343,"14,662"
MINERAL,Court of Appeals,,,John Daniel Dailey,321,122
MOFFAT,Court of Appeals,,,John Daniel Dailey,2907,"1,401"
MONTEZUMA,Court of Appeals,,,John Daniel Dailey,6464,"2,689"
MONTROSE,Court of Appeals,,,John Daniel Dailey,10371,"4,322"
MORGAN,Court of Appeals,,,John Daniel Dailey,6248,"2,579"
OTERO,Court of Appeals,,,John Daniel Dailey,4731,"1,842"
OURAY,Court of Appeals,,,John Daniel Dailey,1946,545
PARK,Court of Appeals,,,John Daniel Dailey,5283,"2,359"
PHILLIPS,Court of Appeals,,,John Daniel Dailey,1127,432
PITKIN,Court of Appeals,,,John Daniel Dailey,5977,"1,290"
PROWERS,Court of Appeals,,,John Daniel Dailey,2331,930
PUEBLO,Court of Appeals,,,John Daniel Dailey,41424,"16,608"
RIO BLANCO,Court of Appeals,,,John Daniel Dailey,1518,715
RIO GRANDE,Court of Appeals,,,John Daniel Dailey,3027,"1,081"
ROUTT,Court of Appeals,,,John Daniel Dailey,7515,"1,785"
SAGUACHE,Court of Appeals,,,John Daniel Dailey,1479,571
SAN JUAN,Court of Appeals,,,John Daniel Dailey,232,87
SAN MIGUEL,Court of Appeals,,,John Daniel Dailey,2336,577
SEDGWICK,Court of Appeals,,,John Daniel Dailey,683,269
SUMMIT,Court of Appeals,,,John Daniel Dailey,7962,"2,018"
TELLER,Court of Appeals,,,John Daniel Dailey,7135,"2,800"
WASHINGTON,Court of Appeals,,,John Daniel Dailey,1375,553
WELD,Court of Appeals,,,John Daniel Dailey,68758,"29,011"
YUMA,Court of Appeals,,,John Daniel Dailey,2209,"1,009"
TOTAL,Court of Appeals,,,John Daniel Dailey,1476600,"523,912"
ADAMS,Court of Appeals,,,Rebecca Rankin Freyre,96712,"40,623"
ALAMOSA,Court of Appeals,,,Rebecca Rankin Freyre,3728,"1,296"
ARAPAHOE,Court of Appeals,,,Rebecca Rankin Freyre,164231,"51,820"
ARCHULETA,Court of Appeals,,,Rebecca Rankin Freyre,3667,"1,545"
BACA,Court of Appeals,,,Rebecca Rankin Freyre,914,556
BENT,Court of Appeals,,,Rebecca Rankin Freyre,1059,543
BOULDER,Court of Appeals,,,Rebecca Rankin Freyre,111102,"20,878"
BROOMFIELD,Court of Appeals,,,Rebecca Rankin Freyre,22773,"6,180"
CHAFFEE,Court of Appeals,,,Rebecca Rankin Freyre,6049,"2,283"
CHEYENNE,Court of Appeals,,,Rebecca Rankin Freyre,450,348
CLEAR CREEK,Court of Appeals,,,Rebecca Rankin Freyre,3001,"1,205"
CONEJOS,Court of Appeals,,,Rebecca Rankin Freyre,2038,"1,038"
COSTILLA,Court of Appeals,,,Rebecca Rankin Freyre,960,370
CROWLEY,Court of Appeals,,,Rebecca Rankin Freyre,732,456
CUSTER,Court of Appeals,,,Rebecca Rankin Freyre,1364,885
DELTA,Court of Appeals,,,Rebecca Rankin Freyre,8340,"4,192"
DENVER,Court of Appeals,,,Rebecca Rankin Freyre,191631,"44,113"
DOLORES,Court of Appeals,,,Rebecca Rankin Freyre,527,369
DOUGLAS,Court of Appeals,,,Rebecca Rankin Freyre,99819,"34,738"
EAGLE,Court of Appeals,,,Rebecca Rankin Freyre,13658,"3,298"
ELBERT,Court of Appeals,,,Rebecca Rankin Freyre,7120,"4,247"
EL PASO,Court of Appeals,,,Rebecca Rankin Freyre,166394,"67,884"
FREMONT,Court of Appeals,,,Rebecca Rankin Freyre,10116,"5,927"
GARFIELD,Court of Appeals,,,Rebecca Rankin Freyre,14141,"4,283"
GILPIN,Court of Appeals,,,Rebecca Rankin Freyre,1941,801
GRAND,Court of Appeals,,,Rebecca Rankin Freyre,4316,"1,531"
GUNNISON,Court of Appeals,,,Rebecca Rankin Freyre,4802,"1,338"
HINSDALE,Court of Appeals,,,Rebecca Rankin Freyre,292,118
HUERFANO,Court of Appeals,,,Rebecca Rankin Freyre,2017,916
JACKSON,Court of Appeals,,,Rebecca Rankin Freyre,353,226
JEFFERSON,Court of Appeals,,,Rebecca Rankin Freyre,186520,"62,895"
KIOWA,Court of Appeals,,,Rebecca Rankin Freyre,361,236
KIT CARSON,Court of Appeals,,,Rebecca Rankin Freyre,1501,790
LAKE,Court of Appeals,,,Rebecca Rankin Freyre,1664,631
LA PLATA,Court of Appeals,,,Rebecca Rankin Freyre,15431,"5,324"
LARIMER,Court of Appeals,,,Rebecca Rankin Freyre,106778,"33,674"
LAS ANIMAS,Court of Appeals,,,Rebecca Rankin Freyre,3671,"1,612"
LINCOLN,Court of Appeals,,,Rebecca Rankin Freyre,1084,529
LOGAN,Court of Appeals,,,Rebecca Rankin Freyre,4682,"2,338"
MESA,Court of Appeals,,,Rebecca Rankin Freyre,39005,"15,974"
MINERAL,Court of Appeals,,,Rebecca Rankin Freyre,321,129
MOFFAT,Court of Appeals,,,Rebecca Rankin Freyre,2746,"1,552"
MONTEZUMA,Court of Appeals,,,Rebecca Rankin Freyre,6365,"2,806"
MONTROSE,Court of Appeals,,,Rebecca Rankin Freyre,9827,"4,882"
MORGAN,Court of Appeals,,,Rebecca Rankin Freyre,6007,"2,801"
OTERO,Court of Appeals,,,Rebecca Rankin Freyre,4653,"1,905"
OURAY,Court of Appeals,,,Rebecca Rankin Freyre,1951,550
PARK,Court of Appeals,,,Rebecca Rankin Freyre,5065,"2,551"
PHILLIPS,Court of Appeals,,,Rebecca Rankin Freyre,1081,476
PITKIN,Court of Appeals,,,Rebecca Rankin Freyre,6316,980
PROWERS,Court of Appeals,,,Rebecca Rankin Freyre,2231,998
PUEBLO,Court of Appeals,,,Rebecca Rankin Freyre,40903,"16,872"
RIO BLANCO,Court of Appeals,,,Rebecca Rankin Freyre,1404,822
RIO GRANDE,Court of Appeals,,,Rebecca Rankin Freyre,2969,"1,137"
ROUTT,Court of Appeals,,,Rebecca Rankin Freyre,7688,"1,674"
SAGUACHE,Court of Appeals,,,Rebecca Rankin Freyre,1492,565
SAN JUAN,Court of Appeals,,,Rebecca Rankin Freyre,229,92
SAN MIGUEL,Court of Appeals,,,Rebecca Rankin Freyre,2432,490
SEDGWICK,Court of Appeals,,,Rebecca Rankin Freyre,651,293
SUMMIT,Court of Appeals,,,Rebecca Rankin Freyre,8303,"1,737"
TELLER,Court of Appeals,,,Rebecca Rankin Freyre,6596,"3,341"
WASHINGTON,Court of Appeals,,,Rebecca Rankin Freyre,1261,650
WELD,Court of Appeals,,,Rebecca Rankin Freyre,67658,"30,319"
YUMA,Court of Appeals,,,Rebecca Rankin Freyre,2091,"1,102"
TOTAL,Court of Appeals,,,Rebecca Rankin Freyre,1495184,"506,734"
ADAMS,Court of Appeals,,,Elizabeth L. Harris,82315,"54,875"
ALAMOSA,Court of Appeals,,,Elizabeth L. Harris,3468,"1,545"
ARAPAHOE,Court of Appeals,,,Elizabeth L. Harris,140669,"74,637"
ARCHULETA,Court of Appeals,,,Elizabeth L. Harris,3149,"2,053"
BACA,Court of Appeals,,,Elizabeth L. Harris,826,642
BENT,Court of Appeals,,,Elizabeth L. Harris,968,642
BOULDER,Court of Appeals,,,Elizabeth L. Harris,97210,"33,982"
BROOMFIELD,Court of Appeals,,,Elizabeth L. Harris,18372,"10,376"
CHAFFEE,Court of Appeals,,,Elizabeth L. Harris,5230,"3,055"
CHEYENNE,Court of Appeals,,,Elizabeth L. Harris,394,402
CLEAR CREEK,Court of Appeals,,,Elizabeth L. Harris,2528,"1,656"
CONEJOS,Court of Appeals,,,Elizabeth L. Harris,1913,"1,144"
COSTILLA,Court of Appeals,,,Elizabeth L. Harris,864,427
CROWLEY,Court of Appeals,,,Elizabeth L. Harris,676,525
CUSTER,Court of Appeals,,,Elizabeth L. Harris,1151,"1,093"
DELTA,Court of Appeals,,,Elizabeth L. Harris,7018,"5,425"
DENVER,Court of Appeals,,,Elizabeth L. Harris,167895,"67,762"
DOLORES,Court of Appeals,,,Elizabeth L. Harris,448,440
DOUGLAS,Court of Appeals,,,Elizabeth L. Harris,81154,"53,362"
EAGLE,Court of Appeals,,,Elizabeth L. Harris,11903,"4,910"
ELBERT,Court of Appeals,,,Elizabeth L. Harris,5638,"5,724"
EL PASO,Court of Appeals,,,Elizabeth L. Harris,139578,"94,680"
FREMONT,Court of Appeals,,,Elizabeth L. Harris,8864,"7,207"
